RAA predictions for Xe-Xe collisions with Bjorken expansion:


0-10% centrality:

pt(GeV)	Raa_min	Raa_max
5		0.13		0.15
8		0.18		0.21
11		0.24		0.27
14		0.28		0.33
17		0.33		0.37	
20		0.36		0.41
23		0.39		0.45
26		0.42		0.48
29		0.45		0.50
32		0.47		0.53
35		0.50		0.55
38		0.52		0.57
41		0.53		0.59
44		0.55		0.60
47		0.57		0.62
50		0.58		0.63



10-30% centrality:

pt(GeV)	Raa_min	Raa_max
5		0.18		0.21
8		0.25		0.28
11		0.32		0.36
14		0.37		0.42
17		0.42		0.46
20		0.46		0.51
23		0.50		0.54
26		0.53		0.57
29		0.55		0.60
32		0.58		0.62
35		0.60		0.64
38		0.62		0.66
41		0.64		0.68
44		0.66		0.69
47		0.67		0.71
50		0.69		0.72



30-50% centrality:

pt(GeV)	Raa_min	Raa_max
5		0.28		0.30
8		0.37		0.40
11		0.44		0.48
14		0.51		0.54
17		0.56		0.59
20		0.60		0.63
23		0.63		0.66
26		0.66		0.69
29		0.69		0.72
32		0.71		0.74
35		0.73		0.75
38		0.75		0.77
41		0.76		0.78
44		0.78		0.80
47		0.79		0.81
50		0.80		0.82



50-70% centrality:

pt(GeV)	Raa_min	Raa_max
5		0.41		0.43
8		0.52		0.54
11		0.60		0.62
14		0.66		0.68
17		0.71		0.73
20		0.74		0.76
23		0.77		0.79
26		0.79		0.81
29		0.81		0.82
32		0.83		0.84
35		0.84		0.85
38		0.85		0.86
41		0.86		0.87
44		0.87		0.88
47		0.87		0.88
50		0.88		0.89

